Interface, Time [µs], Commit ID
Universal, 711, 3c18e9f
Modified, 273, 3c18e9f
Original, 1980, 3c18e9f
Universal, 1028, 3c18e9f
Modified, 370, 3c18e9f
Original, 2622, 3c18e9f
Universal, 1020, 2bffe59
Modified, 372, 2bffe59
Original, 2660, 2bffe59
Universal, 1389, 476f3ce
Modified, 460, 476f3ce
Rubner, 0, 476f3ce
Original, 3269, 476f3ce
Universal, 1806, 476f3ce
Modified, 529, 476f3ce
Rubner, 0, 476f3ce
Original, 3430, 476f3ce
Universal, 1188, 476f3ce
Modified, 476, 476f3ce
Rubner, 0, 476f3ce
Original, 3116, 476f3ce
Universal, 1296, 476f3ce
Modified, 498, 476f3ce
Rubner, 0, 476f3ce
Original, 3481, 476f3ce
Universal, 1325, dcb1cdf
Modified, 529, dcb1cdf
Original, 3459, dcb1cdf
Rubner, 730, dcb1cdf
Universal, 1424, dcb1cdf
Modified, 547, dcb1cdf
Original, 2898, dcb1cdf
Rubner, 576, dcb1cdf
Universal, 1316, dcb1cdf
Modified, 449, dcb1cdf
Original, 3352, dcb1cdf
Rubner, 703, dcb1cdf
Universal, 1362, dcb1cdf
Modified, 504, dcb1cdf
Original, 3412, dcb1cdf
Rubner, 725, dcb1cdf
Universal, 1293, dcb1cdf
Modified, 457, dcb1cdf
Original, 3250, dcb1cdf
Rubner, 1157, dcb1cdf
Universal, 1377, dcb1cdf
Modified, 486, dcb1cdf
Original, 3370, dcb1cdf
Rubner, 771, dcb1cdf
Universal, 2633, dcb1cdf
Modified, 849, dcb1cdf
Original, 40795, dcb1cdf
Rubner, 724, dcb1cdf
Universal, 1343, dcb1cdf
Modified, 466, dcb1cdf
Original, 3421, dcb1cdf
Rubner, 762, dcb1cdf
Universal, 1510, dcb1cdf
Modified, 466, dcb1cdf
Original, 3763, dcb1cdf
Rubner, 736, dcb1cdf
Universal, 1328, dcb1cdf
Modified, 310, dcb1cdf
Original, 6109, dcb1cdf
Rubner, 732, dcb1cdf
Universal, 1448, dcb1cdf
Modified, 471, dcb1cdf
Original, 3328, dcb1cdf
Rubner, 773, dcb1cdf
Universal, 1352, dcb1cdf
Modified, 525, dcb1cdf
Original, 2967, dcb1cdf
Rubner, 535, dcb1cdf
Universal, 1325, dcb1cdf
Modified, 457, dcb1cdf
Original, 13388, dcb1cdf
Rubner, 726, dcb1cdf
Universal, 976, dcb1cdf
Modified, 365, dcb1cdf
Original, 2560, dcb1cdf
Rubner, 672, dcb1cdf
Universal, 1363, dcb1cdf
Modified, 473, dcb1cdf
Original, 3837, dcb1cdf
Rubner, 708, dcb1cdf
Universal, 1367, dcb1cdf
Modified, 492, dcb1cdf
Original, 3353, dcb1cdf
Rubner, 807, dcb1cdf
Universal, 1353, dcb1cdf
Modified, 466, dcb1cdf
Original, 3405, dcb1cdf
Rubner, 742, dcb1cdf
Universal, 769, dcb1cdf
Modified, 298, dcb1cdf
Original, 2756, dcb1cdf
